date,team1,team2,winner,margin,venue
2026-03-28,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,6 wickets,M. Chinnaswamy Stadium
2026-03-29,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,6 wickets,Wankhede Stadium
2026-03-30,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,8 wickets,Barsapara Cricket Stadium
2026-03-31,Punjab Kings,Gujarat Titans,Punjab Kings,3 wickets,Maharaja Yadavindra Singh International Cricket Stadium
2026-04-01,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,6 wickets,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
2026-04-02,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,65 runs,Eden Gardens
2026-04-03,Chennai Super Kings,Punjab Kings,Punjab Kings,5 wickets,MA Chidambaram Stadium
2026-04-04,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,6 runs,Narendra Modi Stadium
2026-04-04,Delhi Capitals,Mumbai Indians,Delhi Capitals,6 wickets,Arun Jaitley Stadium
2026-04-05,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,43 runs,Chinnaswamy Stadium
2026-04-05,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,5 wickets,Rajiv Gandhi International Stadium
2026-04-06,Kolkata Knight Riders,Punjab Kings,no_result,no_result,Eden Gardens
2026-04-07,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,27 runs  -  11 overs game due to rain,Barsapara Cricket Stadium
2026-04-08,Delhi Capitals,Gujarat Titans,Gujarat Titans,1 runs,Arun Jaitley Stadium
2026-04-09,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,3 wickets,Eden Gardens
2026-04-10,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,6 wickets,Barsapara Cricket Stadium
2026-04-11,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,23 runs,MA Chidambaram Stadium
2026-04-11,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,6 wickets,Maharaja Yadavindra Singh International Cricket Stadium
2026-04-12,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,18 runs,Wankhede Stadium
2026-04-12,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,7 wickets,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,57 runs,Rajiv Gandhi International Stadium
2026-04-14,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,32 runs,MA Chidambaram Stadium
2026-04-15,Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,5 wickets,Chinnaswamy Stadium
2026-04-16,Mumbai Indians,Punjab Kings,Punjab Kings,7 wickets,Wankhede Stadium
2026-04-17,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,5 wickets,Narendra Modi Stadium
2026-04-18,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,6 wickets,Chinnaswamy Stadium
2026-04-18,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,10 runs,Rajiv Gandhi International Stadium
2026-04-19,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,4 wickets,Eden Gardens
2026-04-19,Punjab Kings,Lucknow Super Giants,Punjab Kings,54 runs,Maharaja Yadavindra Singh International Cricket Stadium
2026-04-20,Gujarat Titans,Mumbai Indians,Mumbai Indians,99 runs,Narendra Modi Stadium
2026-04-21,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,47 runs,Rajiv Gandhi International Stadium
2026-04-22,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,40 runs,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
2026-04-23,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,103 runs,Wankhede Stadium
2026-04-24,Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,5 wickets,Chinnaswamy Stadium
2026-04-25,Delhi Capitals,Punjab Kings,Punjab Kings,6 wickets,Arun Jaitley Stadium
2026-04-25,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,5 wickets,Sawai Mansingh Stadium
2026-04-26,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
2026-04-26,Chennai Super Kings,Gujarat Titans,Gujarat Titans,8 wickets,MA Chidambaram Stadium
2026-04-27,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,9 wickets,Arun Jaitley Stadium
2026-04-28,Punjab Kings,Rajasthan Royals,Rajasthan Royals,6 wickets,Maharaja Yadavindra Singh International Cricket Stadium
